GREEN NOSTALKS DISPERSE PRICE
500 11 14 125 
500 19  0 100 
500 28 17  93 
450 20 33  68 
450 13  9  90 
500  9 11  83 
550 13 14  63 
500 16 14  63 
550 12 14  81 
550 18 11  90 
550 12  8  98 
525 19 20  92 
500 32 11  68 
450 16 27  60 
800 17  8  69 
600 12  9  90 
500 18 20  82 
575 18  9  82 
575 11 14  60 
900 24  9 150 
550 19 20  79 
550 12  9  90 
950 20  9 120 
550 19 20  69 
600 15  9 100 
550 16  9 100 
350 29 20  46 
500 30 11  67 
500 19  9  93 
500 10 17 112 
950 19  9 175 
525 38 14  75 
475 23 14  62 
500 12 17 103 
500 20 14  93 
350 18 20  62 
600 15  9 100 
500 22 11 125 
625 15 17 100 
900 20 25 150 
500 11  8 112 
350 25 17  43 
300 24 11  37 
525 19  9  75 
525 11  8  91 
950 21 20 171 
525 36 25  64 
400 25 27  50 
550 12  8  91 
550 20 25  75 
700 20  9 100 
550 18  9  71 
500 12  8 108 
525 19  9  85 
950 20  8 183 
550 11 17 103 
650 14 17 126 
550 24 33  68 
475 18 33  68 
350 25 14  53 
550 12 14  84 
600 45 33  45 
575 11 14  97 
550 20 17  85 
400 16 20  64 
950 20 17 152 
600 16 20  91 
525 40 25  57 
525 12  8  92 
425 16 20  53 
500 20  9  85 
500 10 14  96 
950 20  9 142 
550 35 14  64 
550 15  9  75 
700 20 27 100 
600 12  8  93 
900 20  0 150 
450 18  9  75 
450 23 18  62 
450 12  8 112 
450 19  0  93 
900 18  9 150 
500 35 14  75 
800 14  8 112 
600 15  9  97 
475 12  7  97 
425 16 38  87 
900 20 11 150 
525 12 14 107 
525 20 17  93 
700 15 27 106 
500 24 20  81 
400 27 14  68 
600 12 14  93 
575 19  9  84 
650 20 11 103 
600 12 17 112 
500 12  0 103 
900 20  9 137 
600 40 33  65 
800 19 17 105 
450 12  0  97 
850 21  9 129 
650 14  8  97 
550 18  9  87 
600 12  8  93 
400 20 23  53 
700 14  8 100 
550 12  8  97 
550 19  0  90 
525 12  0  90 
300 30 25  55 
575 10 17 100 
575 12  9  83 
750 14  9 111 
450 35 33  66 
525 11  7 100 
500 19  9  87 
850 20  9 133 
550 12 14 100 
700 14 14 100 
350 25 14  60 
600 25 60  60 
700 14 17 105 
575 12 14  97 
525 20  9  90 
700 48 14  75 
850 20 20 130 
600 12  7 111 
600 18  9  83 
350 24 14  66 
550 18  9 100 
550 11  0 108 
900 25 20 133 
750 16 20 122 
350 13  8  55 
600 13 23 105 
650 12 14 105 
350 23 33  42 
950 22 20 126 
750 22 20 115 
625 12  7 121 
600 18  8 106 
500 19  0  97 
600 12 14 106 
900 22  9 141 
600 23 25  70 
850 14 17 121 
800 32 17  64 
725 25 14  93 
900 22 11 129 
650 12 12 120 
700 19 11  80 
600 37 25  56 
900 20 11 146 
450 12  7  60 
575 12  7  82 
350 21 14  39 
750 18 20 100 
450 24 11  44 
400 21 33  44 
700 14  8  88 
575 21 25  66 
650 17 16 120 
650 29 44  80 
650 12  8 120 
550 24 11  60 
900 26 25 146 
450 12  8 110 
575 22 20  85 
525 40 14  35 
800 19  9 114 
600 14  9 107 
500 38 14  53 
675 20  0  78 
900 22 11 114 
450 39 14  50 
550 12  8  96 
800 20  9 114 
600 36 14  42 
600 14  8 100 
600 14  8  78 
450 14 33  57 
350 28 14  46 
450 16  8  78 
350 19 42  32 
550 45 16  35 
700 35 42  57 
800 18 20 128 
600 18  9  80 
750 35 14  48 
650 18 27 100 
500 19 40  93 
400 25 33  52 
350 18 25  47 
800 21 11 133 
400 40 20  33 
350 18 11  55 
475 12  9 120 

